Product Type,Product Name,Price,Material,Link,Informations,Pays concernés,Fabrication,Tissage,Pays d’origine du matériau,Pays de fabrication,Impression,Teinture
Pantalons,Pantalon en laine mélangée,129.0,"[' Laine', ' Polyamide', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1216957001.html,['Pays de fabrication\nRoumanie'],['Roumanie'],[],[],[],['Roumanie'],[],[]
Pantalons,Pantalon évasé en viscose,29.99,"[' Polyamide', ' Polyester recyclé', ' Viscose', ' Viscose LENZING™ ECOVERO™']",https://www2.hm.com/fr_fr/productpage.1155580003.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Petite Fit Ultra High Ankle Jeggings,29.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1203096003.html,"['Teinture\nChine', 'Fabrication\nChine']","['Chine', 'Chine']",['Chine'],[],[],[],[],['Chine']
Pantalons,Pantalon ample en lin mélangé,29.99,"[' Lin', ' Polyester recyclé', ' Viscose', ' Viscose LENZING™ ECOVERO™']",https://www2.hm.com/fr_fr/productpage.1162010001.html,['Pays de fabrication\nBirmanie'],['Birmanie'],[],[],[],['Birmanie'],[],[]
Pantalons,Pantalon avec taille basse élastique,19.99,[' Coton'],https://www2.hm.com/fr_fr/productpage.1210301001.html,"['Teinture\nBangladesh', 'Tissage\nBangladesh', 'Fabrication\nBangladesh']","['Bangladesh', 'Bangladesh', 'Bangladesh']",['Bangladesh'],['Bangladesh'],[],[],[],['Bangladesh']
Pantalons,Pantalon large,29.99,"[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1176512009.html,['Pays de fabrication\nBirmanie\nChine'],"['Birmanie', 'Chine']",[],[],[],"['Birmanie', 'Chine']",[],[]
Pantalons,Pantalon de tailleur avec taille haute,37.99,"[' Acrylique', ' Laine', ' Laine recyclée', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1191214002.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon large avec taille élastique,15.99,"[' Polyamide', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1216645004.html,['Pays de fabrication\nBirmanie\nChine'],"['Birmanie', 'Chine']",[],[],[],"['Birmanie', 'Chine']",[],[]
Pantalons,Pantalon de tailleur en jersey,15.99,"[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1199739002.html,['Pays de fabrication\nBangladesh\nBirmanie'],"['Bangladesh', 'Birmanie']",[],[],[],"['Bangladesh', 'Birmanie']",[],[]
Pantalons,Pantalon parachute,25.99,"[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1112962008.html,['Pays de fabrication\nBirmanie\nChine'],"['Birmanie', 'Chine']",[],[],[],"['Birmanie', 'Chine']",[],[]
Pantalons,Legging baselayer en laine mélangée DryMove™,39.99,"[' Laine', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1163162001.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon cargo taille basse,32.99,[' Coton'],https://www2.hm.com/fr_fr/productpage.1134305005.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Sweatshirt,Sweat oversize imprimé,35.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1222633001.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Sweatshirt,Veste oversize zippée avec capuche,25.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1207453004.html,"['Pays d’origine du matériau\nIndonésie', 'Pays de fabrication\nIndonésie']","['Indonésie', 'Indonésie']",[],[],['Indonésie'],['Indonésie'],[],[]
Sweatshirt,Hoodie DryMove™ en tissu Teddy bear,49.99,"[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1179614002.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Sweatshirt,Hoodie zippé,19.99,"[' Coton', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0984902001.html,['Pays de fabrication\nBangladesh\nChine'],"['Bangladesh', 'Chine']",[],[],[],"['Bangladesh', 'Chine']",[],[]
