Product Name,Price,Materials,Factory,Factory Link,Product Type,Country
The Dream High-Neck Tank,70.0,"['Organic cotton', 'Modal', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Slim Crew Tee,36.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Modern Breton Tee,81.0,['Cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Slim Crew Tee,36.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Washable Clean Silk Short-Sleeve Square Shirt,168.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,['China']
The Linen Short-Sleeve Notch Shirt,94.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Short-Sleeve Notch Shirt,94.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Scoop-Neck Tank,94.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Relaxed Oxford Shirt,105.0,['Organic cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib Wrap Top,94.0,"['Tencel™ lyocell', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Air Scoop-Neck Tee,36.0,['Cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Supima® Micro-Rib Turtleneck,60.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Muscle Tee,43.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Supima® Micro-Rib Turtleneck,60.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Supima® Form Spaghetti Strap Cami,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Cutaway Tank Bodysuit,48.0,['Elastane'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
